timestamp,severity,type,log_name,text_payload,proto_payload,json_payload
2023-05-22T22:21:37.117623Z,DEFAULT,k8s_cluster,projects/thisislasttime/logs/cloudaudit.googleapis.com%2Factivity,,"{
  ""type"": ""type.googleapis.com/google.cloud.audit.AuditLog"",
  ""audit_log"": {
    ""service_name"": ""k8s.io"",
    ""method_name"": ""io.k8s.coordination.v1.leases.update"",
    ""resource_name"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/cluster-autoscaler"",
    ""resource_original_state"": {
    },
    ""authentication_info"": {
      ""principal_email"": ""system:cluster-autoscaler"",
      ""third_party_principal"": {
      }
    },
    ""authorization_info"": [{
      ""resource"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/cluster-autoscaler"",
      ""permission"": ""io.k8s.coordination.v1.leases.update"",
      ""granted"": true
    }],
    ""request_metadata"": {
      ""caller_ip"": ""172.16.0.3"",
      ""caller_supplied_user_agent"": ""cluster-autoscaler/v0.0.0 (linux/amd64) kubernetes/$Format""
    },
    ""request"": {
    },
    ""response"": {
    },
    ""metadata"": {
    }
  }
}",
2023-05-22T22:21:37.234664Z,DEFAULT,k8s_cluster,projects/thisislasttime/logs/cloudaudit.googleapis.com%2Factivity,,"{
  ""type"": ""type.googleapis.com/google.cloud.audit.AuditLog"",
  ""audit_log"": {
    ""service_name"": ""k8s.io"",
    ""method_name"": ""io.k8s.coordination.v1.leases.update"",
    ""resource_name"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/vpa-recommender"",
    ""resource_original_state"": {
    },
    ""authentication_info"": {
      ""principal_email"": ""system:vpa-recommender"",
      ""third_party_principal"": {
      }
    },
    ""authorization_info"": [{
      ""resource"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/vpa-recommender"",
      ""permission"": ""io.k8s.coordination.v1.leases.update"",
      ""granted"": true
    }],
    ""request_metadata"": {
      ""caller_ip"": ""172.16.0.3"",
      ""caller_supplied_user_agent"": ""vpa-recommender/v0.0.0 (linux/amd64) kubernetes/$Format""
    },
    ""request"": {
    },
    ""response"": {
    },
    ""metadata"": {
    }
  }
}",
2023-05-22T22:21:38.982834Z,DEFAULT,k8s_cluster,projects/thisislasttime/logs/cloudaudit.googleapis.com%2Factivity,,"{
  ""type"": ""type.googleapis.com/google.cloud.audit.AuditLog"",
  ""audit_log"": {
    ""service_name"": ""k8s.io"",
    ""method_name"": ""io.k8s.coordination.v1.leases.update"",
    ""resource_name"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/cloud-provider-extraction-migration-pt1"",
    ""resource_original_state"": {
    },
    ""authentication_info"": {
      ""principal_email"": ""system:cloud-controller-manager"",
      ""third_party_principal"": {
      }
    },
    ""authorization_info"": [{
      ""resource"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/cloud-provider-extraction-migration-pt1"",
      ""permission"": ""io.k8s.coordination.v1.leases.update"",
      ""granted"": true
    }],
    ""request_metadata"": {
      ""caller_ip"": ""172.16.0.5"",
      ""caller_supplied_user_agent"": ""cloud-controller-manager/v1.25.5 (linux/amd64) kubernetes/9ee47ba/leader-election""
    },
    ""request"": {
    },
    ""response"": {
    },
    ""metadata"": {
    }
  }
}",
2023-05-22T22:21:38.977835Z,DEFAULT,k8s_cluster,projects/thisislasttime/logs/cloudaudit.googleapis.com%2Factivity,,"{
  ""type"": ""type.googleapis.com/google.cloud.audit.AuditLog"",
  ""audit_log"": {
    ""service_name"": ""k8s.io"",
    ""method_name"": ""io.k8s.coordination.v1.leases.update"",
    ""resource_name"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/cloud-controller-manager"",
    ""resource_original_state"": {
    },
    ""authentication_info"": {
      ""principal_email"": ""system:cloud-controller-manager"",
      ""third_party_principal"": {
      }
    },
    ""authorization_info"": [{
      ""resource"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/cloud-controller-manager"",
      ""permission"": ""io.k8s.coordination.v1.leases.update"",
      ""granted"": true
    }],
    ""request_metadata"": {
      ""caller_ip"": ""172.16.0.5"",
      ""caller_supplied_user_agent"": ""cloud-controller-manager/v1.25.5 (linux/amd64) kubernetes/9ee47ba/leader-election""
    },
    ""request"": {
    },
    ""response"": {
    },
    ""metadata"": {
    }
  }
}",
2023-05-22T22:21:28.339323Z,DEFAULT,k8s_cluster,projects/thisislasttime/logs/cloudaudit.googleapis.com%2Factivity,,"{
  ""type"": ""type.googleapis.com/google.cloud.audit.AuditLog"",
  ""audit_log"": {
    ""service_name"": ""k8s.io"",
    ""method_name"": ""io.k8s.core.v1.configmaps.update"",
    ""resource_name"": ""core/v1/namespaces/kube-system/configmaps/cluster-autoscaler-status"",
    ""resource_original_state"": {
    },
    ""authentication_info"": {
      ""principal_email"": ""system:cluster-autoscaler"",
      ""third_party_principal"": {
      }
    },
    ""authorization_info"": [{
      ""resource"": ""core/v1/namespaces/kube-system/configmaps/cluster-autoscaler-status"",
      ""permission"": ""io.k8s.core.v1.configmaps.update"",
      ""granted"": true
    }],
    ""request_metadata"": {
      ""caller_ip"": ""172.16.0.3"",
      ""caller_supplied_user_agent"": ""cluster-autoscaler/v0.0.0 (linux/amd64) kubernetes/$Format""
    },
    ""request"": {
    },
    ""response"": {
    },
    ""metadata"": {
    }
  }
}",
2023-05-22T22:21:34.494808Z,DEFAULT,k8s_cluster,projects/thisislasttime/logs/cloudaudit.googleapis.com%2Factivity,,"{
  ""type"": ""type.googleapis.com/google.cloud.audit.AuditLog"",
  ""audit_log"": {
    ""service_name"": ""k8s.io"",
    ""method_name"": ""io.k8s.coordination.v1.leases.update"",
    ""resource_name"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/snapshot-controller-leader"",
    ""resource_original_state"": {
    },
    ""authentication_info"": {
      ""principal_email"": ""system:snapshot-controller"",
      ""third_party_principal"": {
      }
    },
    ""authorization_info"": [{
      ""resource"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/snapshot-controller-leader"",
      ""permission"": ""io.k8s.coordination.v1.leases.update"",
      ""granted"": true
    }],
    ""request_metadata"": {
      ""caller_ip"": ""172.16.0.3"",
      ""caller_supplied_user_agent"": ""snapshot-controller/v0.0.0 (linux/amd64) kubernetes/$Format""
    },
    ""request"": {
    },
    ""response"": {
    },
    ""metadata"": {
    }
  }
}",
2023-05-22T22:21:40.990720Z,DEFAULT,k8s_cluster,projects/thisislasttime/logs/cloudaudit.googleapis.com%2Factivity,,"{
  ""type"": ""type.googleapis.com/google.cloud.audit.AuditLog"",
  ""audit_log"": {
    ""service_name"": ""k8s.io"",
    ""method_name"": ""io.k8s.coordination.v1.leases.update"",
    ""resource_name"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/cloud-provider-extraction-migration-pt1"",
    ""resource_original_state"": {
    },
    ""authentication_info"": {
      ""principal_email"": ""system:cloud-controller-manager"",
      ""third_party_principal"": {
      }
    },
    ""authorization_info"": [{
      ""resource"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/cloud-provider-extraction-migration-pt1"",
      ""permission"": ""io.k8s.coordination.v1.leases.update"",
      ""granted"": true
    }],
    ""request_metadata"": {
      ""caller_ip"": ""172.16.0.5"",
      ""caller_supplied_user_agent"": ""cloud-controller-manager/v1.25.5 (linux/amd64) kubernetes/9ee47ba/leader-election""
    },
    ""request"": {
    },
    ""response"": {
    },
    ""metadata"": {
    }
  }
}",
2023-05-22T22:21:41.318032Z,DEFAULT,k8s_cluster,projects/thisislasttime/logs/cloudaudit.googleapis.com%2Factivity,,"{
  ""type"": ""type.googleapis.com/google.cloud.audit.AuditLog"",
  ""audit_log"": {
    ""service_name"": ""k8s.io"",
    ""method_name"": ""io.k8s.coordination.v1.leases.update"",
    ""resource_name"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/gcp-controller-manager"",
    ""resource_original_state"": {
    },
    ""authentication_info"": {
      ""principal_email"": ""system:gcp-controller-manager"",
      ""third_party_principal"": {
      }
    },
    ""authorization_info"": [{
      ""resource"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/gcp-controller-manager"",
      ""permission"": ""io.k8s.coordination.v1.leases.update"",
      ""granted"": true
    }],
    ""request_metadata"": {
      ""caller_ip"": ""172.16.0.5"",
      ""caller_supplied_user_agent"": ""gcp-controller-manager/v0.0.0 (linux/amd64) kubernetes/$Format/leader-election""
    },
    ""request"": {
    },
    ""response"": {
    },
    ""metadata"": {
    }
  }
}",
2023-05-22T22:21:42.078397Z,DEFAULT,k8s_cluster,projects/thisislasttime/logs/cloudaudit.googleapis.com%2Factivity,,"{
  ""type"": ""type.googleapis.com/google.cloud.audit.AuditLog"",
  ""audit_log"": {
    ""service_name"": ""k8s.io"",
    ""method_name"": ""io.k8s.coordination.v1.leases.update"",
    ""resource_name"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/kube-controller-manager"",
    ""resource_original_state"": {
    },
    ""authentication_info"": {
      ""principal_email"": ""system:kube-controller-manager"",
      ""third_party_principal"": {
      }
    },
    ""authorization_info"": [{
      ""resource"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/kube-controller-manager"",
      ""permission"": ""io.k8s.coordination.v1.leases.update"",
      ""granted"": true
    }],
    ""request_metadata"": {
      ""caller_ip"": ""172.16.0.5"",
      ""caller_supplied_user_agent"": ""kube-controller-manager/v1.25.8 (linux/amd64) kubernetes/f117e29/leader-election""
    },
    ""request"": {
    },
    ""response"": {
    },
    ""metadata"": {
    }
  }
}",
2023-05-22T22:21:29.479430Z,DEFAULT,k8s_cluster,projects/thisislasttime/logs/cloudaudit.googleapis.com%2Factivity,,"{
  ""type"": ""type.googleapis.com/google.cloud.audit.AuditLog"",
  ""audit_log"": {
    ""service_name"": ""k8s.io"",
    ""method_name"": ""io.k8s.coordination.v1.leases.update"",
    ""resource_name"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/snapshot-controller-leader"",
    ""resource_original_state"": {
    },
    ""authentication_info"": {
      ""principal_email"": ""system:snapshot-controller"",
      ""third_party_principal"": {
      }
    },
    ""authorization_info"": [{
      ""resource"": ""coordination.k8s.io/v1/namespaces/kube-system/leases/snapshot-controller-leader"",
      ""permission"": ""io.k8s.coordination.v1.leases.update"",
      ""granted"": true
    }],
    ""request_metadata"": {
      ""caller_ip"": ""172.16.0.3"",
      ""caller_supplied_user_agent"": ""snapshot-controller/v0.0.0 (linux/amd64) kubernetes/$Format""
    },
    ""request"": {
    },
    ""response"": {
    },
    ""metadata"": {
    }
  }
}",
